epoch,lr-AdamW,step,test/hr@10,test/hr@100,test/hr@200,test/hr@50,test/mrr,test/ndcg@10,test/ndcg@100,test/ndcg@200,test/ndcg@50,train/loss_epoch,train/loss_step,val/hr@10,val/hr@100,val/hr@200,val/hr@50,val/mrr,val/ndcg@10,val/ndcg@100,val/ndcg@200,val/ndcg@50
17,,1299,,,,,,,,,,,0.5009446144104004,,,,,,,,,
,0.0007434680686803488,1349,,,,,,,,,,,,,,,,,,,,
17,,1349,,,,,,,,,,,0.48834970593452454,,,,,,,,,
17,,1367,,,,,,,,,,,,0.17798013985157013,0.5380794405937195,0.6597682237625122,0.39569535851478577,0.08102743327617645,0.09342602640390396,0.16423553228378296,0.18128643929958344,0.14101341366767883
17,,1367,,,,,,,,,,0.5214357972145081,,,,,,,,,,
,0.0007157607493247108,1399,,,,,,,,,,,,,,,,,,,,
18,,1399,,,,,,,,,,,0.5323096513748169,,,,,,,,,
18,,1443,,,,,,,,,,0.5167567729949951,,,,,,,,,,
,0.0006872216535789154,1449,,,,,,,,,,,,,,,,,,,,
19,,1449,,,,,,,,,,,0.48176291584968567,,,,,,,,,
,0.0006872216535789154,1499,,,,,,,,,,,,,,,,,,,,
19,,1499,,,,,,,,,,,0.5224222540855408,,,,,,,,,
19,,1519,,,,,,,,,,,,0.18294702470302582,0.5463576316833496,0.6589403748512268,0.40562912821769714,0.08010929822921753,0.09382979571819305,0.16527335345745087,0.18105317652225494,0.1423782855272293
19,,1519,,,,,,,,,,0.5125830769538879,,,,,,,,,,
,0.0006579634122155987,1549,,,,,,,,,,,,,,,,,,,,
20,,1549,,,,,,,,,,,0.500724732875824,,,,,,,,,
20,,1595,,,,,,,,,,0.5093086957931519,,,,,,,,,,
,0.0006281014941466028,1599,,,,,,,,,,,,,,,,,,,,
21,,1599,,,,,,,,,,,0.4937671422958374,,,,,,,,,
,0.0006281014941466028,1649,,,,,,,,,,,,,,,,,,,,
21,,1649,,,,,,,,,,,0.5106052756309509,,,,,,,,,
21,,1671,,,,,,,,,,,,0.17384105920791626,0.5587748289108276,0.6597682237625122,0.4147351086139679,0.08166132867336273,0.09270793199539185,0.1680333912372589,0.1821690946817398,0.14475803077220917
21,,1671,,,,,,,,,,0.5062257647514343,,,,,,,,,,
,0.0005977537507199335,1699,,,,,,,,,,,,,,,,,,,,
22,,1699,,,,,,,,,,,0.4896959066390991,,,,,,,,,
22,,1747,,,,,,,,,,0.5034927725791931,,,,,,,,,,
,0.0005670399506143305,1749,,,,,,,,,,,,,,,,,,,,
23,,1749,,,,,,,,,,,0.5001446008682251,,,,,,,,,
,0.0005670399506143305,1799,,,,,,,,,,,,,,,,,,,,
23,,1799,,,,,,,,,,,0.4888610541820526,,,,,,,,,
23,,1823,,,,,,,,,,,,0.18046358227729797,0.5529801249504089,0.6630794405937195,0.4213576018810272,0.0804114043712616,0.09348219633102417,0.1666211634874344,0.18198777735233307,0.14527055621147156
23,,1823,,,,,,,,,,0.5002479553222656,,,,,,,,,,
,0.0005360813071670099,1849,,,,,,,,,,,,,,,,,,,,
24,,1849,,,,,,,,,,,0.5122197270393372,,,,,,,,,
,0.0005360813071670099,1899,,,,,,,,,,,,,,,,,,,,
24,,1899,,,,,,,,,,,0.4591560661792755,,,,,,,,,
24,,1899,,,,,,,,,,0.4979341924190521,,,,,,,,,,
,0.0005049999999999998,1949,,,,,,,,,,,,,,,,,,,,
25,,1949,,,,,,,,,,,0.5001587271690369,,,,,,,,,
25,,1975,,,,,,,,,,,,0.18377482891082764,0.5521523356437683,0.6597682237625122,0.41721853613853455,0.0826982632279396,0.09590715169906616,0.16842025518417358,0.18361219763755798,0.146525040268898
25,,1975,,,,,,,,,,0.4966559410095215,,,,,,,,,,
,0.0004739186928329897,1999,,,,,,,,,,,,,,,,,,,,
26,,1999,,,,,,,,,,,0.4689827263355255,,,,,,,,,
,0.0004739186928329897,2049,,,,,,,,,,,,,,,,,,,,
26,,2049,,,,,,,,,,,0.5242420434951782,,,,,,,,,
26,,2051,,,,,,,,,,0.49394771456718445,,,,,,,,,,
,0.0004429600493856692,2099,,,,,,,,,,,,,,,,,,,,
27,,2099,,,,,,,,,,,0.48338544368743896,,,,,,,,,
27,,2127,,,,,,,,,,,,0.1754966825246811,0.565397322177887,0.6697019934654236,0.42218542098999023,0.0832243263721466,0.09416308254003525,0.17069463431835175,0.1851806640625,0.14745233952999115
27,,2127,,,,,,,,,,0.4921990633010864,,,,,,,,,,
,0.0004122462492800661,2149,,,,,,,,,,,,,,,,,,,,
28,,2149,,,,,,,,,,,0.5044156312942505,,,,,,,,,
,0.0004122462492800661,2199,,,,,,,,,,,,,,,,,,,,
28,,2199,,,,,,,,,,,0.486868292093277,,,,,,,,,
28,,2203,,,,,,,,,,0.4898240566253662,,,,,,,,,,
,0.0003818985058533967,2249,,,,,,,,,,,,,,,,,,,,
29,,2249,,,,,,,,,,,0.5042627453804016,,,,,,,,,
29,,2279,,,,,,,,,,,,0.17466887831687927,0.5637417435646057,0.6713576316833496,0.4263245165348053,0.08008474111557007,0.09137443453073502,0.16839371621608734,0.18338723480701447,0.1461244374513626
29,,2279,,,,,,,,,,0.4889973998069763,,,,,,,,,,
,0.00035203658778440103,2299,,,,,,,,,,,,,,,,,,,,
30,,2299,,,,,,,,,,,0.4634731113910675,,,,,,,,,
,0.00035203658778440103,2349,,,,,,,,,,,,,,,,,,,,
30,,2349,,,,,,,,,,,0.46264907717704773,,,,,,,,,
30,,2355,,,,,,,,,,0.48668307065963745,,,,,,,,,,
,0.00032277834642108444,2399,,,,,,,,,,,,,,,,,,,,
31,,2399,,,,,,,,,,,0.4838923513889313,,,,,,,,,
31,,2431,,,,,,,,,,,,0.1870860904455185,0.559602677822113,0.6672185659408569,0.42798012495040894,0.08233918994665146,0.0964684784412384,0.16984684765338898,0.18495994806289673,0.14849507808685303
31,,2431,,,,,,,,,,0.48504871129989624,,,,,,,,,,
,0.0002942392506752889,2449,,,,,,,,,,,,,,,,,,,,
32,,2449,,,,,,,,,,,0.43231117725372314,,,,,,,,,
,0.0002942392506752889,2499,,,,,,,,,,,,,,,,,,,,
32,,2499,,,,,,,,,,,0.5123883485794067,,,,,,,,,
32,,2507,,,,,,,,,,0.4831799566745758,,,,,,,,,,
,0.00026653193131965077,2549,,,,,,,,,,,,,,,,,,,,
33,,2549,,,,,,,,,,,0.48717743158340454,,,,,,,,,
33,,2583,,,,,,,,,,,,0.18377482891082764,0.5620861053466797,0.6680463552474976,0.42880794405937195,0.08284877985715866,0.09574949741363525,0.1705753058195114,0.18542291224002838,0.14894123375415802
33,,2583,,,,,,,,,,0.48218029737472534,,,,,,,,,,
,0.00023976573648539642,2599,,,,,,,,,,,,,,,,,,,,
34,,2599,,,,,,,,,,,0.4853096008300781,,,,,,,,,
,0.00023976573648539642,2649,,,,,,,,,,,,,,,,,,,,
34,,2649,,,,,,,,,,,0.49804821610450745,,,,,,,,,
34,,2659,,,,,,,,,,0.48135650157928467,,,,,,,,,,
,0.00021404630011522574,2699,,,,,,,,,,,,,,,,,,,,
35,,2699,,,,,,,,,,,0.4757537245750427,,,,,,,,,
35,,2735,,,,,,,,,,,,0.1879139095544815,0.5662251710891724,0.6754966974258423,0.430463582277298,0.08316875994205475,0.09736036509275436,0.17133472859859467,0.18656983971595764,0.14931677281856537
35,,2735,,,,,,,,,,0.4798032343387604,,,,,,,,,,
,0.00018947512507439847,2749,,,,,,,,,,,,,,,,,,,,
36,,2749,,,,,,,,,,,0.4924917221069336,,,,,,,,,
,0.00018947512507439847,2799,,,,,,,,,,,,,,,,,,,,
36,,2799,,,,,,,,,,,0.49680420756340027,,,,,,,,,
36,,2811,,,,,,,,,,0.4787692129611969,,,,,,,,,,
,0.000166149182565299,2849,,,,,,,,,,,,,,,,,,,,
37,,2849,,,,,,,,,,,0.48984938859939575,,,,,,,,,
37,,2887,,,,,,,,,,,,0.18956953287124634,0.570364236831665,0.6721854209899902,0.42963576316833496,0.08272580057382584,0.09741159528493881,0.17176368832588196,0.18599872291088104,0.14892631769180298
37,,2887,,,,,,,,,,0.4778232276439667,,,,,,,,,,
,0.00014416052942640132,2899,,,,,,,,,,,,,,,,,,,,
38,,2899,,,,,,,,,,,0.4849129319190979,,,,,,,,,
,0.00014416052942640132,2949,,,,,,,,,,,,,,,,,,,,
38,,2949,,,,,,,,,,,0.48640552163124084,,,,,,,,,
38,,2963,,,,,,,,,,0.47641006112098694,,,,,,,,,,
,0.00012359594482598432,2999,,,,,,,,,,,,,,,,,,,,
39,,2999,,,,,,,,,,,0.49675872921943665,,,,,,,,,
39,,3039,,,,,,,,,,,,0.18460264801979065,0.5637417435646057,0.6754966974258423,0.4362582862377167,0.08375044167041779,0.09667100757360458,0.17179277539253235,0.18741364777088165,0.1510694921016693
39,,3039,,,,,,,,,,0.4759196639060974,,,,,,,,,,
,0.00010453658778440102,3049,,,,,,,,,,,,,,,,,,,,
40,,3049,,,,,,,,,,,0.5130273699760437,,,,,,,,,
,0.00010453658778440102,3099,,,,,,,,,,,,,,,,,,,,
40,,3099,,,,,,,,,,,0.4597388803958893,,,,,,,,,
40,,3115,,,,,,,,,,0.4741519093513489,,,,,,,,,,
,8.70576768765026e-05,3149,,,,,,,,,,,,,,,,,,,,
41,,3149,,,,,,,,,,,0.4754108488559723,,,,,,,,,
41,,3191,,,,,,,,,,,,0.18543046712875366,0.5662251710891724,0.6754966974258423,0.4370861053466797,0.08337798714637756,0.09654185175895691,0.1718204766511917,0.1870824247598648,0.1508907675743103
41,,3191,,,,,,,,,,0.4739942252635956,,,,,,,,,,
,7.12281933782875e-05,3199,,,,,,,,,,,,,,,,,,,,
42,,3199,,,,,,,,,,,0.4403872489929199,,,,,,,,,
,7.12281933782875e-05,3249,,,,,,,,,,,,,,,,,,,,
42,,3249,,,,,,,,,,,0.48809874057769775,,,,,,,,,
42,,3267,,,,,,,,,,0.4732350707054138,,,,,,,,,,
,5.71106090293204e-05,3299,,,,,,,,,,,,,,,,,,,,
43,,3299,,,,,,,,,,,0.4593193829059601,,,,,,,,,
